# z N(z)
0.000000000000000000e+00 -1.000000000000000000e+00
7.518796992481202590e-02 -9.961937990121064734e-01
1.503759398496240518e-01 -9.924016773245167844e-01
2.255639097744360777e-01 -9.886235813428198016e-01
3.007518796992481036e-01 -9.848594576708303849e-01
3.759398496240601295e-01 -9.811092531098366543e-01
4.511278195488721554e-01 -9.773729146578463700e-01
5.263157894736841813e-01 -9.736503895088368665e-01
6.015037593984962072e-01 -9.699416250520127569e-01
6.766917293233082331e-01 -9.662465688710577538e-01
7.518796992481202590e-01 -9.625651687433968151e-01
8.270676691729322849e-01 -9.588973726394571795e-01
9.022556390977443108e-01 -9.552431287219326217e-01
9.774436090225563367e-01 -9.516023853450513714e-01
1.052631578947368363e+00 -9.479750910538463637e-01
1.127819548872180277e+00 -9.443611945834272658e-01
1.203007518796992414e+00 -9.407606448582570557e-01
1.278195488721804551e+00 -9.371733909914286009e-01
1.353383458646616466e+00 -9.335993822839470102e-01
1.428571428571428381e+00 -9.300385682240126517e-01
1.503759398496240518e+00 -9.264908984863066133e-01
1.578947368421052655e+00 -9.229563229312797157e-01
1.654135338345864570e+00 -9.194347916044448565e-01
1.729323308270676485e+00 -9.159262547356701312e-01
1.804511278195488622e+00 -9.124306627384745072e-01
1.879699248120300759e+00 -9.089479662093289392e-01
1.954887218045112673e+00 -9.054781159269575941e-01
2.030075187969924588e+00 -9.020210628516408535e-01
2.105263157894736725e+00 -8.985767581245234226e-01
2.180451127819548862e+00 -8.951451530669244372e-01
2.255639097744360555e+00 -8.917261991796477938e-01
2.330827067669172692e+00 -8.883198481422979187e-01
2.406015037593984829e+00 -8.849260518125963149e-01
2.481203007518796966e+00 -8.815447622257016613e-01
2.556390977443609103e+00 -8.781759315935310228e-01
2.631578947368420796e+00 -8.748195123040858334e-01
2.706766917293232932e+00 -8.714754569207777690e-01
2.781954887218045069e+00 -8.681437181817586168e-01
2.857142857142856762e+00 -8.648242489992525872e-01
2.932330827067668899e+00 -8.615170024588905129e-01
3.007518796992481036e+00 -8.582219318190472679e-01
3.082706766917293173e+00 -8.549389905101810738e-01
3.157894736842105310e+00 -8.516681321341746935e-01
3.233082706766917003e+00 -8.484093104636799554e-01
3.308270676691729140e+00 -8.451624794414651642e-01
3.383458646616541277e+00 -8.419275931797628454e-01
3.458646616541352969e+00 -8.387046059596229286e-01
3.533834586466165106e+00 -8.354934722302642669e-01
3.609022556390977243e+00 -8.322941466084337048e-01
3.684210526315789380e+00 -8.291065838777621488e-01
3.759398496240601517e+00 -8.259307389881266337e-01
3.834586466165413210e+00 -8.227665670550143862e-01
3.909774436090225347e+00 -8.196140233588864454e-01
3.984962406015037484e+00 -8.164730633445477226e-01
4.060150375939849177e+00 -8.133436426205155056e-01
4.135338345864661314e+00 -8.102257169583939600e-01
4.210526315789473450e+00 -8.071192422922472964e-01
4.285714285714285587e+00 -8.040241747179783793e-01
4.360902255639097724e+00 -8.009404704927067797e-01
4.436090225563909861e+00 -7.978680860341519354e-01
4.511278195488721110e+00 -7.948069779200161999e-01
4.586466165413533247e+00 -7.917571028873721106e-01
4.661654135338345384e+00 -7.887184178320496564e-01
4.736842105263157521e+00 -7.856908798080285417e-01
4.812030075187969658e+00 -7.826744460268302284e-01
4.887218045112781795e+00 -7.796690738569134194e-01
4.962406015037593932e+00 -7.766747208230708743e-01
5.037593984962406068e+00 -7.736913446058317767e-01
5.112781954887218205e+00 -7.707189030408601038e-01
5.187969924812029454e+00 -7.677573541183602135e-01
5.263157894736841591e+00 -7.648066559824844290e-01
5.338345864661653728e+00 -7.618667669307389589e-01
5.413533834586465865e+00 -7.589376454133965888e-01
5.488721804511278002e+00 -7.560192500329084853e-01
5.563909774436090139e+00 -7.531115395433193305e-01
5.639097744360902276e+00 -7.502144728496841219e-01
5.714285714285713524e+00 -7.473280090074879700e-01
5.789473684210525661e+00 -7.444521072220671165e-01
5.864661654135337798e+00 -7.415867268480316188e-01
5.939849624060149935e+00 -7.387318273886925857e-01
6.015037593984962072e+00 -7.358873684954884142e-01
6.090225563909774209e+00 -7.330533099674148012e-01
6.165413533834586346e+00 -7.302296117504576412e-01
6.240601503759398483e+00 -7.274162339370247032e-01
6.315789473684210620e+00 -7.246131367653839694e-01
