# z N(z)
0.000000000000000000e+00 -1.000000000000000222e+00
7.518796992481202590e-02 -9.631038961835751699e-01
1.503759398496240518e-01 -9.275691148439816347e-01
2.255639097744360777e-01 -8.933454284857875738e-01
3.007518796992481036e-01 -8.603844628124457383e-01
3.759398496240601295e-01 -8.286396283504767757e-01
4.511278195488721554e-01 -7.980660545964513020e-01
5.263157894736841813e-01 -7.686205265936930653e-01
6.015037593984962072e-01 -7.402614238490534682e-01
6.766917293233082331e-01 -7.129486615034204000e-01
7.518796992481202590e-01 -6.866436336728046763e-01
8.270676691729322849e-01 -6.613091588799206999e-01
9.022556390977443108e-01 -6.369094274991291549e-01
9.774436090225563367e-01 -6.134099511404557115e-01
1.052631578947368363e+00 -5.907775139011430809e-01
1.127819548872180277e+00 -5.689801254158302068e-01
1.203007518796992414e+00 -5.479869756389978974e-01
1.278195488721804551e+00 -5.277683912957648049e-01
1.353383458646616466e+00 -5.082957939394804336e-01
1.428571428571428381e+00 -4.895416595568282125e-01
1.503759398496240518e+00 -4.714794796633449137e-01
1.578947368421052655e+00 -4.540837238343621296e-01
1.654135338345864570e+00 -4.373298036184098958e-01
1.729323308270676485e+00 -4.211940377820770909e-01
1.804511278195488622e+00 -4.056536188371983598e-01
1.879699248120300759e+00 -3.906865808030600129e-01
1.954887218045112673e+00 -3.762717681580530216e-01
2.030075187969924588e+00 -3.623888059368897685e-01
2.105263157894736725e+00 -3.490180709311174745e-01
2.180451127819548862e+00 -3.361406639522192541e-01
2.255639097744360555e+00 -3.237383831181001037e-01
2.330827067669172692e+00 -3.117936981251963613e-01
2.406015037593984829e+00 -3.002897254698443374e-01
2.481203007518796966e+00 -2.892102045838848556e-01
2.556390977443609103e+00 -2.785394748507690199e-01
2.631578947368420796e+00 -2.682624534696825269e-01
2.706766917293232932e+00 -2.583646141363952209e-01
2.781954887218045069e+00 -2.488319665107062706e-01
2.857142857142856762e+00 -2.396510364414592142e-01
2.932330827067668899e+00 -2.308088469211773686e-01
3.007518796992481036e+00 -2.222928997433993858e-01
3.082706766917293173e+00 -2.140911578367868107e-01
3.157894736842105310e+00 -2.061920282510350533e-01
3.233082706766917003e+00 -1.985843457705374904e-01
3.308270676691729140e+00 -1.912573571326415811e-01
3.383458646616541277e+00 -1.842007058281900089e-01
3.458646616541352969e+00 -1.774044174628625903e-01
3.533834586466165106e+00 -1.708588856586273075e-01
3.609022556390977243e+00 -1.645548584753734889e-01
3.684210526315789380e+00 -1.584834253335331011e-01
3.759398496240601517e+00 -1.526360044192071330e-01
3.834586466165413210e+00 -1.470043305539930067e-01
3.909774436090225347e+00 -1.415804435123684812e-01
3.984962406015037484e+00 -1.363566767701187288e-01
4.060150375939849177e+00 -1.313256466679021128e-01
4.135338345864661314e+00 -1.264802419746386963e-01
4.210526315789473450e+00 -1.218136138359687121e-01
4.285714285714285587e+00 -1.173191660935739150e-01
4.360902255639097724e+00 -1.129905459616780683e-01
4.436090225563909861e+00 -1.088216350475485206e-01
4.511278195488721110e+00 -1.048065407033060975e-01
4.586466165413533247e+00 -1.009395876968193773e-01
4.661654135338345384e+00 -9.721531018991096118e-02
4.736842105263157521e+00 -9.362844401253633819e-02
4.812030075187969658e+00 -9.017391922201535570e-02
4.887218045112781795e+00 -8.684685293679927920e-02
4.962406015037593932e+00 -8.364254243464414040e-02
5.037593984962406068e+00 -8.055645850543385889e-02
5.112781954887218205e+00 -7.758423904925915160e-02
5.187969924812029454e+00 -7.472168291070177548e-02
5.263157894736841591e+00 -7.196474394060992097e-02
5.338345864661653728e+00 -6.930952527697101240e-02
5.413533834586465865e+00 -6.675227383679779858e-02
5.488721804511278002e+00 -6.428937501124254439e-02
5.563909774436090139e+00 -6.191734755644084931e-02
5.639097744360902276e+00 -5.963283867286329337e-02
5.714285714285713524e+00 -5.743261926622002245e-02
5.789473684210525661e+00 -5.531357938321926349e-02
5.864661654135337798e+00 -5.327272381572877719e-02
5.939849624060149935e+00 -5.130716786712655186e-02
6.015037593984962072e+00 -4.941413327485658091e-02
6.090225563909774209e+00 -4.759094428342654920e-02
6.165413533834586346e+00 -4.583502386229659775e-02
6.240601503759398483e+00 -4.414389006331313065e-02
6.315789473684210620e+00 -4.251515251253935868e-02
6.390977443609021869e+00 -4.094650903152340093e-02
6.466165413533834005e+00 -3.943574238322847259e-02
