# z N(z)
0.000000000000000000e+00 -9.999999999999996669e-01
7.518796992481202590e-02 -9.881810123248361277e-01
1.503759398496240518e-01 -9.765016866784398397e-01
2.255639097744360777e-01 -9.649603723932770327e-01
3.007518796992481036e-01 -9.535554383072958329e-01
3.759398496240601295e-01 -9.422852725333901169e-01
4.511278195488721554e-01 -9.311482822315871877e-01
5.263157894736841813e-01 -9.201428933839281843e-01
6.015037593984962072e-01 -9.092675505720085871e-01
6.766917293233082331e-01 -8.985207167571466202e-01
7.518796992481202590e-01 -8.879008730631493540e-01
8.270676691729322849e-01 -8.774065185616479745e-01
9.022556390977443108e-01 -8.670361700599658050e-01
9.774436090225563367e-01 -8.567883618914968746e-01
1.052631578947368363e+00 -8.466616457085580638e-01
1.127819548872180277e+00 -8.366545902776925114e-01
1.203007518796992414e+00 -8.267657812773874237e-01
1.278195488721804551e+00 -8.169938210981877447e-01
1.353383458646616466e+00 -8.073373286451652753e-01
1.428571428571428381e+00 -7.977949391427276993e-01
1.503759398496240518e+00 -7.883653039417297670e-01
1.578947368421052655e+00 -7.790470903288672089e-01
1.654135338345864570e+00 -7.698389813383190727e-01
1.729323308270676485e+00 -7.607396755656196108e-01
1.804511278195488622e+00 -7.517478869837260769e-01
1.879699248120300759e+00 -7.428623447612628938e-01
1.954887218045112673e+00 -7.340817930829107718e-01
2.030075187969924588e+00 -7.254049909719194611e-01
2.105263157894736725e+00 -7.168307121147179384e-01
2.180451127819548862e+00 -7.083577446875967132e-01
2.255639097744360555e+00 -6.999848911854366085e-01
2.330827067669172692e+00 -6.917109682524636982e-01
2.406015037593984829e+00 -6.835348065150024244e-01
2.481203007518796966e+00 -6.754552504162046889e-01
2.556390977443609103e+00 -6.674711580527327159e-01
2.631578947368420796e+00 -6.595814010133709271e-01
2.706766917293232932e+00 -6.517848642195448461e-01
2.781954887218045069e+00 -6.440804457677241635e-01
2.857142857142856762e+00 -6.364670567736884221e-01
2.932330827067668899e+00 -6.289436212186317876e-01
3.007518796992481036e+00 -6.215090757970871405e-01
3.082706766917293173e+00 -6.141623697666461767e-01
3.157894736842105310e+00 -6.069024647994563093e-01
3.233082706766917003e+00 -5.997283348354696120e-01
3.308270676691729140e+00 -5.926389659374290408e-01
3.383458646616541277e+00 -5.856333561475649541e-01
3.458646616541352969e+00 -5.787105153459866091e-01
3.533834586466165106e+00 -5.718694651107458782e-01
3.609022556390977243e+00 -5.651092385795546402e-01
3.684210526315789380e+00 -5.584288803131353118e-01
3.759398496240601517e+00 -5.518274461601871961e-01
3.834586466165413210e+00 -5.453040031239462238e-01
3.909774436090225347e+00 -5.388576292303230986e-01
3.984962406015037484e+00 -5.324874133975981971e-01
4.060150375939849177e+00 -5.261924553076559041e-01
4.135338345864661314e+00 -5.199718652787403972e-01
4.210526315789473450e+00 -5.138247641397153398e-01
4.285714285714285587e+00 -5.077502831058083865e-01
4.360902255639097724e+00 -5.017475636558229590e-01
4.436090225563909861e+00 -4.958157574108021381e-01
4.511278195488721110e+00 -4.899540260141250769e-01
4.586466165413533247e+00 -4.841615410130196140e-01
4.661654135338345384e+00 -4.784374837414752668e-01
4.736842105263157521e+00 -4.727810452045394518e-01
4.812030075187969658e+00 -4.671914259639799449e-01
4.887218045112781795e+00 -4.616678360252983171e-01
4.962406015037593932e+00 -4.562094947260780242e-01
5.037593984962406068e+00 -4.508156306256520529e-01
5.112781954887218205e+00 -4.454854813960724691e-01
5.187969924812029454e+00 -4.402182937143692687e-01
5.263157894736841591e+00 -4.350133231560815439e-01
5.338345864661653728e+00 -4.298698340900455883e-01
5.413533834586465865e+00 -4.247870995744271183e-01
5.488721804511278002e+00 -4.197644012539800129e-01
5.563909774436090139e+00 -4.148010292585203040e-01
5.639097744360902276e+00 -4.098962821025973757e-01
5.714285714285713524e+00 -4.050494665863524912e-01
5.789473684210525661e+00 -4.002598976975462186e-01
5.864661654135337798e+00 -3.955268985147444849e-01
5.939849624060149935e+00 -3.908498001116478271e-01
6.015037593984962072e+00 -3.862279414625495177e-01
6.090225563909774209e+00 -3.816606693489124069e-01
6.165413533834586346e+00 -3.771473382670468832e-01
6.240601503759398483e+00 -3.726873103368807949e-01
6.315789473684210620e+00 -3.682799552118063979e-01
6.390977443609021869e+00 -3.639246499895915643e-01
6.466165413533834005e+00 -3.596207791243435925e-01
6.541353383458646142e+00 -3.553677343395131305e-01
6.616541353383458279e+00 -3.511649145419240559e-01
6.691729323308270416e+00 -3.470117257368202091e-01
6.766917293233082553e+00 -3.429075809439144362e-01
6.842105263157894690e+00 -3.388519001144293941e-01
6.917293233082705939e+00 -3.348441100491175160e-01
6.992481203007518076e+00 -3.308836443172494257e-01
7.067669172932330213e+00 -3.269699431765594744e-01
7.142857142857142350e+00 -3.231024534941350224e-01
7.218045112781954487e+00 -3.192806286682416395e-01
7.293233082706766623e+00 -3.155039285510705116e-01
7.368421052631578760e+00 -3.117718193723972853e-01
7.443609022556390897e+00 -3.080837736641438007e-01
7.518796992481203034e+00 -3.044392701858296135e-01
7.593984962406014283e+00 -3.008377938509034233e-01
7.669172932330826420e+00 -2.972788356539448062e-01
7.744360902255638557e+00 -2.937618925987256491e-01
7.819548872180450694e+00 -2.902864676271197375e-01
7.894736842105262831e+00 -2.868520695488529504e-01
7.969924812030074968e+00 -2.834582129720820132e-01
8.045112781954886216e+00 -2.801044182347925404e-01
8.120300751879698353e+00 -2.767902113370076522e-01
8.195488721804510490e+00 -2.735151238737959511e-01
8.270676691729322627e+00 -2.702786929690713658e-01
8.345864661654134764e+00 -2.670804612101730369e-01
8.421052631578946901e+00 -2.639199765832186406e-01
8.496240601503759038e+00 -2.607967924092198242e-01
8.571428571428571175e+00 -2.577104672809520380e-01
8.646616541353383312e+00 -2.546605650005694943e-01
8.721804511278195449e+00 -2.516466545179562031e-01
8.796992481203007586e+00 -2.486683098698043992e-01
8.872180451127819723e+00 -2.457251101194126708e-01
8.947368421052631859e+00 -2.428166392971933540e-01
9.022556390977442220e+00 -2.399424863418826992e-01
9.097744360902254357e+00 -2.371022450424447869e-01
9.172932330827066494e+00 -2.342955139806605913e-01
9.248120300751878631e+00 -2.315218964743945562e-01
9.323308270676690768e+00 -2.287810005215304698e-01
9.398496240601502905e+00 -2.260724387445690597e-01
9.473684210526315042e+00 -2.233958283358788433e-01
9.548872180451127178e+00 -2.207507910035930720e-01
9.624060150375939315e+00 -2.181369529181447497e-01
9.699248120300751452e+00 -2.155539446594321173e-01
9.774436090225563589e+00 -2.130014011646084726e-01
9.849624060150375726e+00 -2.104789616764858318e-01
9.924812030075187863e+00 -2.079862696925491028e-01
1.000000000000000000e+01 -2.055229729145702233e-01
1.007518796992481214e+01 -2.030887231988172947e-01
1.015037593984962427e+01 -2.006831765068505247e-01
1.022556390977443641e+01 -1.983059928568980113e-01
1.030075187969924677e+01 -1.959568362758060678e-01
1.037593984962405891e+01 -1.936353747515546786e-01
1.045112781954887105e+01 -1.913412801863337287e-01
1.052631578947368318e+01 -1.890742283501719023e-01
1.060150375939849532e+01 -1.868338988351127550e-01
1.067669172932330746e+01 -1.846199750099306314e-01
1.075187969924811959e+01 -1.824321439753802399e-01
1.082706766917293173e+01 -1.802700965199739158e-01
1.090225563909774387e+01 -1.781335270762800238e-01
1.097744360902255600e+01 -1.760221336777364753e-01
1.105263157894736814e+01 -1.739356179159727289e-01
1.112781954887218028e+01 -1.718736848986353871e-01
1.120300751879699241e+01 -1.698360432077101190e-01
1.127819548872180455e+01 -1.678224048583350225e-01
1.135338345864661669e+01 -1.658324852580987385e-01
1.142857142857142705e+01 -1.638660031668186523e-01
1.150375939849623919e+01 -1.619226806567922172e-01
1.157894736842105132e+01 -1.600022430735169032e-01
1.165413533834586346e+01 -1.581044189968726643e-01
1.172932330827067560e+01 -1.562289402027614849e-01
1.180451127819548773e+01 -1.543755416251984258e-01
1.187969924812029987e+01 -1.525439613188492860e-01
1.195488721804511201e+01 -1.507339404220094381e-01
1.203007518796992414e+01 -1.489452231200179000e-01
1.210526315789473628e+01 -1.471775566091028109e-01
1.218045112781954842e+01 -1.454306910606517622e-01
1.225563909774436055e+01 -1.437043795859029582e-01
1.233082706766917269e+01 -1.419983782010521001e-01
1.240601503759398483e+01 -1.403124457927690805e-01
1.248120300751879697e+01 -1.386463440841213257e-01
1.255639097744360910e+01 -1.369998376008974006e-01
1.263157894736842124e+01 -1.353726936383264634e-01
1.270676691729323160e+01 -1.337646822281902126e-01
1.278195488721804374e+01 -1.321755761063203582e-01
1.285714285714285587e+01 -1.306051506804790652e-01
1.293233082706766801e+01 -1.290531839986168161e-01
1.300751879699248015e+01 -1.275194567175033933e-01
1.308270676691729228e+01 -1.260037520717272597e-01
1.315789473684210442e+01 -1.245058558430601758e-01
1.323308270676691656e+01 -1.230255563301804883e-01
1.330827067669172870e+01 -1.215626443187533962e-01
1.338345864661654083e+01 -1.201169130518621869e-01
1.345864661654135297e+01 -1.186881582007862507e-01
1.353383458646616511e+01 -1.172761778361234852e-01
1.360902255639097724e+01 -1.158807723992507088e-01
1.368421052631578938e+01 -1.145017446741194156e-01
1.375939849624060152e+01 -1.131388997593833629e-01
1.383458646616541188e+01 -1.117920450408520783e-01
1.390977443609022401e+01 -1.104609901642684827e-01
1.398496240601503615e+01 -1.091455470084056051e-01
1.406015037593984829e+01 -1.078455296584790585e-01
1.413533834586466043e+01 -1.065607543798711976e-01
1.421052631578947256e+01 -1.052910395921632519e-01
1.428571428571428470e+01 -1.040362058434725762e-01
1.436090225563909684e+01 -1.027960757850896883e-01
1.443609022556390897e+01 -1.015704741464137084e-01
1.451127819548872111e+01 -1.003592277101806596e-01
1.458646616541353325e+01 -9.916216528798213470e-02
1.466165413533834538e+01 -9.797911769607110799e-02
1.473684210526315752e+01 -9.680991773145064538e-02
1.481203007518796966e+01 -9.565440014824258541e-02
1.488721804511278179e+01 -9.451240163433317909e-02
1.496240601503759393e+01 -9.338376078829158100e-02
1.503759398496240607e+01 -9.226831809655869354e-02
1.511278195488721643e+01 -9.116591591090270064e-02
1.518796992481202857e+01 -9.007639842613829328e-02
1.526315789473684070e+01 -8.899961165810628405e-02
1.533834586466165284e+01 -8.793540342191061288e-02
1.541353383458646498e+01 -8.688362331040998254e-02
1.548872180451127711e+01 -8.584412267295993271e-02
1.556390977443608925e+01 -8.481675459440418674e-02
1.563909774436090139e+01 -8.380137387431048357e-02
1.571428571428571352e+01 -8.279783700644907651e-02
1.578947368421052566e+01 -8.180600215851076273e-02
1.586466165413533780e+01 -8.082572915206132080e-02
1.593984962406014994e+01 -7.985687944272966410e-02
